ISU GP 2017 Bridgestone Skate America,,,,,,,,,,,,,,,
MEN SHORT PROGRAM,,JUDGES DETAILS PER SKATER,,,,,,,,,,,,,
,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,Interpretation of the Music,,,1,8.75,8,8,7.75,7.5,8.5,8.25,8.25,8,8.11,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,39.43,
,Deductions,,Falls:,-1.00(1),,,,,,,,,,-1.00,
x,"Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,,,,,,,
,,,,,,Starting,,Total,,Total,,,Total,Total,
Rank,Name,,,,Nation,Number,,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,Score,,Score,,Score (factored),,,
,6,Boyang JIN,,,CHN,,12,,77.97,37.28,,,40.69,0,
,Executed,,Base,,,,,,,,,,Scores of,,
,#,,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,,
,Elements,,Info,Value,,,,,,,,,Panel,,
,1,4T,10.3,1.14,1,2,2,1,0,1,1,1,1,11.44,
,2,FCSp4,3.2,0.5,1,1,1,1,1,1,1,1,0,3.7,
,3,1A*,*,0,0,-,-,-,-,-,-,-,-,-,0
,4,3Lz+3T,11.33,x,0,0,0,0,0,0,0,0,0,1,11.33
,5,CSSp4,3,0.57,1,2,1,1,2,1,1,1,1,3.57,
,6,CCoSp4,3.5,0.5,1,1,1,1,2,1,1,1,1,4,
,7,StSq2,2.6,0.64,1,2,2,2,1,1,1,1,1,3.24,
,,,33.93,,,,,,,,,,,37.28,
,Program Components,,Factor,,,,,,,,,,,,
,Skating Skills,,,1,8,8.25,8.75,8.25,8,9,8.25,8.25,8.25,8.29,
,Transitions,,,1,7.5,8,8.5,7.5,7.5,8.25,8,7.75,8.25,7.89,
,Performance,,,1,8,8.5,8.5,7.75,8.25,8,8,7.75,8.25,8.11,
,Composition,,,1,8.25,8.5,8.75,7.75,8,8.25,8.25,8.25,8.5,8.29,
,Interpretation of the Music,,,1,8,8.75,8.5,8,7.75,8,8.25,7.5,8.25,8.11,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,40.69,
,Deductions,,,,,,,,,,,,,0,
*,Invalid element,x,"Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,,,,,
ISU GP 2017 Bridgestone Skate America,,,,,,,,,,,,,,,
MEN SHORT PROGRAM,,,JUDGES DETAILS PER SKATER,,,,,,,,,,,,
,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,Score,,Score,,,Score (factored),,
,7,Takahito MURA,,,JPN,,4,,75.05,37.11,,,37.94,0,
,Executed,,Base,,,,,,,,,,Scores of,,
,#,,Info,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,
,Elements,,Value,,,,,,,,,,Panel,,
,1,4T,,8,-3.54,-3,-2,-3,-2,-3,-3,-3,-3,-2,4.46
,2,3A,8.5,1.71,1,1,1,2,3,2,2,2,2,10.21,
,3,FCSp3,2.8,0,0,0,0,1,0,0,0,0,-1,2.8,
,4,CSSp3,2.6,0.14,0,0,0,1,1,0,0,1,0,2.74,
,5,3Lz+3T,11.33,x,-0.60,-1,-1,-1,-1,-1,-2,0,-1,0,10.73
,6,StSq2,2.6,0.71,0,2,1,1,2,2,1,1,2,3.31,
,7,CCoSp3V,2.5,0.36,0,1,0,1,1,1,1,1,0,2.86,
,,,38.33,,,,,,,,,,,37.11,
,Program Components,,Factor,,,,,,,,,,,,
,Skating Skills,,,1,8.25,7.25,7.25,7.5,8.25,8.25,7.25,8.25,7.5,7.75,
,Transitions,,,1,7.75,6.75,7,7,7.75,7.25,7.25,7.75,7.5,7.36,
,Performance,,,1,7.5,7.5,7,7.5,8,7.5,7.5,7.5,7.75,7.54,
,Composition,,,1,8,7,7.5,7.25,8.25,8.25,7.5,7.75,7.5,7.68,
,Interpretation of the Music,,,1,7.5,7.75,7.25,7.25,8,7.75,7.5,7.5,8,7.61,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,37.94,
,Deductions,,,,,,,,,,,,,0,
,Under-rotated jump,,x,"Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,,,,
,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,Score,,Score,,,Score (factored),,
,8,Ross MINER,,,USA,,3,,71.59,33.51,,,38.08,0,
,Executed,,Base,,,,,,,,,,Scores of,,
,#,,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,,
,Elements,,Info,Value,,,,,,,,,Panel,,
,1,3Lz,6,1.3,2,1,2,2,2,2,0,2,2,7.3,
,2,1A*,*,0,0,-,-,-,-,-,-,-,-,-,0
,3,CCSp3,2.8,0.2,-1,1,1,1,1,-1,0,1,-1,3,
,4,3F+3T,10.56,x,0.2,0,0,0,1,0,2,0,0,1,10.76
,5,StSq3,3.3,0.79,1,2,1,2,1,2,1,2,2,4.09,
,6,FSSp4,3,0.86,2,1,1,2,1,3,2,2,2,3.86,
,7,CCoSp4,3.5,1,-1,2,2,3,2,2,2,2,2,4.5,
,,,29.16,,,,,,,,,,,33.51,
,Program Components,,Factor,,,,,,,,,,,,
,Skating Skills,,,1,7.5,7.75,7.5,7.75,7.75,8.5,7.5,7.25,7.5,7.61,
,Transitions,,,1,6.75,7,7.5,7.5,7.5,8.75,7,7,7.5,7.29,
,Performance,,,1,7.5,7.75,7.25,7.75,7.75,8.25,7,7.75,8,7.68,
,Composition,,,1,8,7.5,7.75,8,7.5,8.75,7.25,7.75,7.5,7.71,
,Interpretation of the Music,,,1,7.75,7.75,7.5,7.75,7.75,8.75,7.25,8,8,7.79,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,38.08,
,Deductions,,,,,,,,,,,,,0,
*,Invalid element,x,"Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,,,,,
ISU GP 2017 Bridgestone Skate America,,,,,,,,,,,,,,,,
MEN SHORT PROGRAM,,,,JUDGES DETAILS PER SKATER,,,,,,,,,,,,
,,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,,Score,,Score,,,Score (factored),,
,9,Roman SADOVSKY,,,,CAN,,1,,70.85,36.74,,,34.11,0,
,Executed,,Base,,,,,,,,,,,Scores of,,
#,,,Info,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,,
,Elements,,Value,,,,,,,,,,,Panel,,
,1,4S,10.5,,-1.54,-2,-1,-1,-1,-1,-2,-1,-2,0,8.96,
,2,3Lz+3T,,9,-1.10,-1,-1,-2,-2,-2,-2,-1,-2,0,7.9,
,3,FCSp3,2.8,,0.29,0,1,1,0,2,1,0,1,0,3.09,
,4,3A,,6.49,x,-1.00,-1,-1,-1,-1,-1,-2,-1,-1,-1,5.49
,5,CSSp4,3,,0.57,1,2,1,1,2,1,1,1,1,3.57,
,6,StSq3,3.3,,0.14,0,0,0,0,1,0,0,1,1,3.44,
,7,CCoSp4,3.5,,0.79,1,1,2,2,2,1,1,2,2,4.29,
,,,38.59,,,,,,,,,,,,36.74,
,Program Components,,,Factor,,,,,,,,,,,,
,Skating Skills,,,,1,7,7,7.25,6.75,7.25,7,7.25,6.75,6.5,7,
,Transitions,,,,1,6.75,6.5,6.5,6.5,6.5,6.5,7,6.5,6.25,6.54,
,Performance,,,,1,7.25,7,7.25,6.5,7,6.25,7,6.75,6.75,6.89,
,Composition,,,,1,7.25,7,7,6.5,7.25,7,7.25,7,6.5,7,
,Interpretation of the Music,,,,1,6.75,7.25,6.75,6.25,7,6.5,7,6.25,6.5,6.68,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,,34.11,
,Deductions,,,,,,,,,,,,,,0,
,Under-rotated jump,x,"Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,,,,,,
,,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,,Score,,Score,,,Score (factored),,
,10,Kevin REYNOLDS,,,,CAN,,5,,69.1,32.75,,,36.35,0,
,Executed,,Base,,,,,,,,,,,Scores of,,
#,,,Info,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,,
,Elements,,Value,,,,,,,,,,,Panel,,
,1,4S,,12.4,-1.89,-2,-1,-1,-1,-2,-2,-2,-3,0,10.51,
